n,set,Xloc,Yloc,Landuse,Rock,Rock_name,Cd,Co,Cr,Cu,Ni,Pb,Zn,Cd_log2,Cd_log10,Cd_ln,Pb_log2,Pb_log10,Pb_ln
1,cal,2.386,3.077,3,3,Sequanian,1.74,9.32,38.32,25.72,21.32,77.36,92.56,0.799087306,0.240549248,0.553885113,6.27351589,1.888516461,4.348469851
2,cal,2.544,1.972,2,2,Kimmeridgian,1.335,10,40.2,24.76,29.72,77.88,73.56,0.416839742,0.125481266,0.288931292,6.283180979,1.891425943,4.355169181
3,cal,2.807,3.347,2,3,Sequanian,1.61,10.6,47,8.88,21.4,30.8,64.8,0.687060688,0.206825876,0.476234179,4.944858446,1.488550717,3.42751469
4,cal,4.308,1.933,3,2,Kimmeridgian,2.15,11.92,43.52,22.7,29.72,56.4,90,1.10433666,0.33243846,0.765467842,5.817623258,1.751279104,4.032469159
5,cal,4.383,1.081,3,5,Quaternary,1.565,16.32,38.52,34.32,26.2,66.4,88.4,0.646162657,0.194514342,0.447885824,6.053111336,1.822168079,4.195697056
6,cal,3.244,4.519,3,5,Quaternary,1.145,3.508,40.4,31.28,22.04,72.4,75.2,0.195347598,0.058805487,0.135404637,6.177917792,1.859738566,4.282206299
7,cal,3.925,3.785,3,5,Quaternary,0.894,15.08,30.52,27.44,21.76,60,72.4,-0.161653263,-0.048662481,-0.112049504,5.906890596,1.77815125,4.094344562
8,cal,2.116,3.498,3,1,Argovian,0.525,4.2,25.4,66.12,9.72,141,72.08,-0.929610672,-0.279840697,-0.644357016,7.139551352,2.149219113,4.94875989
9,cal,1.842,0.989,3,1,Argovian,0.24,4.52,27.96,22.32,11.32,52.4,56.4,-2.058893689,-0.619788758,-1.427116356,5.711494907,1.719331287,3.958906591
10,cal,1.709,1.843,3,3,Sequanian,0.625,12.08,33.32,18.72,16.88,41.6,75.6,-0.678071905,-0.204119983,-0.470003629,5.378511623,1.619093331,3.728100167
11,cal,3.8,4.578,3,1,Argovian,3.873,9.84,46,22.24,21.64,46,143.2,1.953451501,0.588047497,1.354029401,5.523561956,1.662757832,3.828641396
12,cal,2.699,1.199,1,1,Argovian,1.425,7.56,40.8,8.76,15.72,56.4,66.8,0.510961919,0.153814864,0.354171814,5.817623258,1.751279104,4.032469159
13,cal,3.033,4.384,3,5,Quaternary,0.455,2.368,19.24,21.36,7.08,38.36,37.88,-1.13606155,-0.341988603,-0.78745786,5.261530815,1.583878598,3.64701525
14,cal,4.232,1.588,1,2,Kimmeridgian,1.025,8.84,28.32,5.88,17.4,52.8,47.6,0.03562391,0.010723865,0.024692613,5.722466024,1.722633923,3.966511191
15,cal,4.75,1.369,3,2,Kimmeridgian,0.775,11.96,35.6,17.6,23.76,32.92,70.8,-0.367731785,-0.110698297,-0.25489225,5.040892431,1.517459827,3.494080376
